trip_id,BHI,DKA,STB,BNH,IST,SNY,ASN,BKM,BKA,HJN,CPT,FTM,LBB
NS-WD-BHI-LBB-034,8:55:30,8:58:20,9:00:20,9:02:10,9:04:30,9:06:20,9:08:50,9:11:10,9:13:40,9:16:00,9:18:20,9:21:40,9:24:50
NS-WD-BHI-LBB-035,9:00:30,9:03:20,9:05:20,9:07:10,9:09:30,9:11:20,9:13:50,9:16:10,9:18:40,9:21:00,9:23:20,9:26:40,9:29:50
NS-WD-BHI-LBB-036,9:05:30,9:08:20,9:10:20,9:12:10,9:14:30,9:16:20,9:18:50,9:21:10,9:23:40,9:26:00,9:28:20,9:31:40,9:34:50
NS-WD-BHI-LBB-037,9:10:30,9:13:20,9:15:20,9:17:10,9:19:30,9:21:20,9:23:50,9:26:10,9:28:40,9:31:00,9:33:20,9:36:40,9:39:50
NS-WD-BHI-LBB-038,9:15:30,9:18:20,9:20:20,9:22:10,9:24:30,9:26:20,9:28:50,9:31:10,9:33:40,9:36:00,9:38:20,9:41:40,9:44:50
NS-WD-BHI-LBB-039,9:20:30,9:23:20,9:25:20,9:27:10,9:29:30,9:31:20,9:33:50,9:36:10,9:38:40,9:41:00,9:43:20,9:46:40,9:49:50
NS-WD-BHI-LBB-040,9:26:00,9:28:50,9:30:50,9:32:40,9:35:00,9:36:50,9:39:20,9:41:40,9:44:10,9:46:30,9:48:50,9:52:10,9:55:20
NS-WD-BHI-LBB-041,9:31:00,9:33:50,9:35:50,9:37:40,9:40:00,9:41:50,9:44:20,9:46:40,9:49:10,9:51:30,9:53:50,9:57:10,10:00:20
NS-WD-BHI-LBB-042,9:38:00,9:40:50,9:42:50,9:44:40,9:47:00,9:48:50,9:51:20,9:53:40,9:56:10,9:58:30,10:00:50,10:04:10,10:07:20
NS-WD-BHI-LBB-043,9:45:00,9:47:50,9:49:50,9:51:40,9:54:00,9:55:50,9:58:20,10:00:40,10:03:10,10:05:30,10:07:50,10:11:10,10:14:20
