trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI,Full Trip
NS-WD-LBB-BHI-032,8:20:00,8:23:10,8:26:10,8:28:20,8:30:40,8:33:20,8:35:20,8:38:00,8:40:00,8:42:30,8:44:30,8:46:40,8:49:40,0:29:40
NS-WD-LBB-BHI-033,8:25:00,8:28:10,8:31:10,8:33:20,8:35:40,8:38:20,8:40:20,8:43:00,8:45:00,8:47:30,8:49:30,8:51:40,8:54:40,0:29:40
NS-WD-LBB-BHI-034,8:30:00,8:33:10,8:36:10,8:38:20,8:40:40,8:43:20,8:45:20,8:48:00,8:50:00,8:52:30,8:54:30,8:56:40,8:59:40,0:29:40
NS-WD-LBB-BHI-035,8:35:00,8:38:10,8:41:10,8:43:20,8:45:40,8:48:20,8:50:20,8:53:00,8:55:00,8:57:30,8:59:30,9:01:40,9:04:40,0:29:40
NS-WD-LBB-BHI-036,8:40:00,8:43:10,8:46:10,8:48:20,8:50:40,8:53:20,8:55:20,8:58:00,9:00:00,9:02:30,9:04:30,9:06:40,9:09:40,0:29:40
NS-WD-LBB-BHI-037,8:45:00,8:48:10,8:51:10,8:53:20,8:55:40,8:58:20,9:00:20,9:03:00,9:05:00,9:07:30,9:09:30,9:11:40,9:14:40,0:29:40
NS-WD-LBB-BHI-038,8:51:00,8:54:10,8:57:10,8:59:20,9:01:40,9:04:20,9:06:10,9:08:40,9:10:40,9:13:10,9:15:10,9:17:20,9:20:20,0:29:20
NS-WD-LBB-BHI-039,8:58:00,9:01:10,9:04:10,9:06:20,9:08:40,9:11:20,9:13:10,9:15:40,9:17:40,9:20:10,9:22:10,9:24:20,9:27:20,0:29:20
NS-WD-LBB-BHI-040,9:05:30,9:08:40,9:11:40,9:13:50,9:16:10,9:18:50,9:20:40,9:23:10,9:25:10,9:27:40,9:29:40,9:31:50,9:34:50,0:29:20
NS-WD-LBB-BHI-041,9:12:30,9:15:40,9:18:40,9:20:50,9:23:10,9:25:50,9:27:40,9:30:10,9:32:10,9:34:40,9:36:40,9:38:50,9:41:50,0:29:20
NS-WD-LBB-BHI-042,9:19:30,9:22:40,9:25:40,9:27:50,9:30:10,9:32:50,9:34:40,9:37:10,9:39:10,9:41:40,9:43:40,9:45:50,9:48:50,0:29:20
NS-WD-LBB-BHI-043,9:27:00,9:30:10,9:33:10,9:35:20,9:37:40,9:40:20,9:42:10,9:44:40,9:46:40,9:49:10,9:51:10,9:53:20,9:56:20,0:29:20
NS-WD-LBB-BHI-044,9:35:00,9:38:10,9:41:10,9:43:20,9:45:40,9:48:20,9:50:10,9:52:40,9:54:40,9:57:10,9:59:10,10:01:20,10:04:20,0:29:20
NS-WD-LBB-BHI-045,9:42:30,9:45:40,9:48:40,9:50:50,9:53:10,9:55:50,9:57:40,10:00:10,10:02:10,10:04:40,10:06:40,10:08:50,10:11:50,0:29:20
NS-WD-LBB-BHI-046,9:50:30,9:53:40,9:56:40,9:58:50,10:01:10,10:03:50,10:05:40,10:08:10,10:10:10,10:12:40,10:14:40,10:16:50,10:19:50,0:29:20
NS-WD-LBB-BHI-047,10:00:00,10:03:10,10:06:10,10:08:20,10:10:40,10:13:20,10:15:10,10:17:40,10:19:40,10:22:10,10:24:10,10:26:20,10:29:20,0:29:20
NS-WD-LBB-BHI-048,10:10:00,10:13:10,10:16:10,10:18:20,10:20:40,10:23:20,10:25:10,10:27:40,10:29:40,10:32:10,10:34:10,10:36:20,10:39:20,0:29:20
NS-WD-LBB-BHI-049,10:20:00,10:23:10,10:26:10,10:28:20,10:30:40,10:33:20,10:35:10,10:37:40,10:39:40,10:42:10,10:44:10,10:46:20,10:49:20,0:29:20
NS-WD-LBB-BHI-050,10:30:00,10:33:10,10:36:10,10:38:20,10:40:40,10:43:20,10:45:10,10:47:40,10:49:40,10:52:10,10:54:10,10:56:20,10:59:20,0:29:20
NS-WD-LBB-BHI-051,10:40:00,10:43:10,10:46:10,10:48:20,10:50:40,10:53:20,10:55:10,10:57:40,10:59:40,11:02:10,11:04:10,11:06:20,11:09:20,0:29:20
NS-WD-LBB-BHI-052,10:50:00,10:53:10,10:56:10,10:58:20,11:00:40,11:03:20,11:05:10,11:07:40,11:09:40,11:12:10,11:14:10,11:16:20,11:19:20,0:29:20
NS-WD-LBB-BHI-053,11:00:00,11:03:10,11:06:10,11:08:20,11:10:40,11:13:20,11:15:10,11:17:40,11:19:40,11:22:10,11:24:10,11:26:20,11:29:20,0:29:20
NS-WD-LBB-BHI-054,11:10:00,11:13:10,11:16:10,11:18:20,11:20:40,11:23:20,11:25:10,11:27:40,11:29:40,11:32:10,11:34:10,11:36:20,11:39:20,0:29:20
