trip_id,BHI,DKA,STB,BNH,IST,SNY,ASN,BKM,BKA,HJN,CPT,FTM,LBB
NS-WE-BHI-LBB-034,10:53:30,10:56:20,10:58:20,11:00:10,11:02:30,11:04:20,11:06:50,11:09:10,11:11:40,11:14:00,11:16:20,11:19:40,11:22:50
NS-WE-BHI-LBB-035,11:03:30,11:06:20,11:08:20,11:10:10,11:12:30,11:14:20,11:16:50,11:19:10,11:21:40,11:24:00,11:26:20,11:29:40,11:32:50
NS-WE-BHI-LBB-036,11:13:30,11:16:20,11:18:20,11:20:10,11:22:30,11:24:20,11:26:50,11:29:10,11:31:40,11:34:00,11:36:20,11:39:40,11:42:50
NS-WE-BHI-LBB-037,11:23:30,11:26:20,11:28:20,11:30:10,11:32:30,11:34:20,11:36:50,11:39:10,11:41:40,11:44:00,11:46:20,11:49:40,11:52:50
NS-WE-BHI-LBB-038,11:33:30,11:36:20,11:38:20,11:40:10,11:42:30,11:44:20,11:46:50,11:49:10,11:51:40,11:54:00,11:56:20,11:59:40,12:02:50
NS-WE-BHI-LBB-039,11:43:30,11:46:20,11:48:20,11:50:10,11:52:30,11:54:20,11:56:50,11:59:10,12:01:40,12:04:00,12:06:20,12:09:40,12:12:50
NS-WE-BHI-LBB-040,11:53:30,11:56:20,11:58:20,12:00:10,12:02:30,12:04:20,12:06:50,12:09:10,12:11:40,12:14:00,12:16:20,12:19:40,12:22:50
NS-WE-BHI-LBB-041,12:03:30,12:06:20,12:08:20,12:10:10,12:12:30,12:14:20,12:16:50,12:19:10,12:21:40,12:24:00,12:26:20,12:29:40,12:32:50
NS-WE-BHI-LBB-042,12:13:30,12:16:20,12:18:20,12:20:10,12:22:30,12:24:20,12:26:50,12:29:10,12:31:40,12:34:00,12:36:20,12:39:40,12:42:50
NS-WE-BHI-LBB-043,12:23:30,12:26:20,12:28:20,12:30:10,12:32:30,12:34:20,12:36:50,12:39:10,12:41:40,12:44:00,12:46:20,12:49:40,12:52:50
NS-WE-BHI-LBB-044,12:33:30,12:36:20,12:38:20,12:40:10,12:42:30,12:44:20,12:46:50,12:49:10,12:51:40,12:54:00,12:56:20,12:59:40,13:02:50
NS-WE-BHI-LBB-045,12:43:30,12:46:20,12:48:20,12:50:10,12:52:30,12:54:20,12:56:50,12:59:10,13:01:40,13:04:00,13:06:20,13:09:40,13:12:50
NS-WE-BHI-LBB-046,12:53:30,12:56:20,12:58:20,13:00:10,13:02:30,13:04:20,13:06:50,13:09:10,13:11:40,13:14:00,13:16:20,13:19:40,13:22:50
NS-WE-BHI-LBB-047,13:03:30,13:06:20,13:08:20,13:10:10,13:12:30,13:14:20,13:16:50,13:19:10,13:21:40,13:24:00,13:26:20,13:29:40,13:32:50
NS-WE-BHI-LBB-048,13:13:30,13:16:20,13:18:20,13:20:10,13:22:30,13:24:20,13:26:50,13:29:10,13:31:40,13:34:00,13:36:20,13:39:40,13:42:50
NS-WE-BHI-LBB-049,13:23:30,13:26:20,13:28:20,13:30:10,13:32:30,13:34:20,13:36:50,13:39:10,13:41:40,13:44:00,13:46:20,13:49:40,13:52:50
NS-WE-BHI-LBB-050,13:33:30,13:36:20,13:38:20,13:40:10,13:42:30,13:44:20,13:46:50,13:49:10,13:51:40,13:54:00,13:56:20,13:59:40,14:02:50
NS-WE-BHI-LBB-051,13:43:30,13:46:20,13:48:20,13:50:10,13:52:30,13:54:20,13:56:50,13:59:10,14:01:40,14:04:00,14:06:20,14:09:40,14:12:50
NS-WE-BHI-LBB-052,13:53:30,13:56:20,13:58:20,14:00:10,14:02:30,14:04:20,14:06:50,14:09:10,14:11:40,14:14:00,14:16:20,14:19:40,14:22:50
NS-WE-BHI-LBB-053,14:03:30,14:06:20,14:08:20,14:10:10,14:12:30,14:14:20,14:16:50,14:19:10,14:21:40,14:24:00,14:26:20,14:29:40,14:32:50
NS-WE-BHI-LBB-054,14:13:30,14:16:20,14:18:20,14:20:10,14:22:30,14:24:20,14:26:50,14:29:10,14:31:40,14:34:00,14:36:20,14:39:40,14:42:50
NS-WE-BHI-LBB-055,14:23:30,14:26:20,14:28:20,14:30:10,14:32:30,14:34:20,14:36:50,14:39:10,14:41:40,14:44:00,14:46:20,14:49:40,14:52:50
NS-WE-BHI-LBB-056,14:33:30,14:36:20,14:38:20,14:40:10,14:42:30,14:44:20,14:46:50,14:49:10,14:51:40,14:54:00,14:56:20,14:59:40,15:02:50
NS-WE-BHI-LBB-057,14:43:30,14:46:20,14:48:20,14:50:10,14:52:30,14:54:20,14:56:50,14:59:10,15:01:40,15:04:00,15:06:20,15:09:40,15:12:50
NS-WE-BHI-LBB-058,14:53:30,14:56:20,14:58:20,15:00:10,15:02:30,15:04:20,15:06:50,15:09:10,15:11:40,15:14:00,15:16:20,15:19:40,15:22:50
NS-WE-BHI-LBB-059,15:03:30,15:06:20,15:08:20,15:10:10,15:12:30,15:14:20,15:16:50,15:19:10,15:21:40,15:24:00,15:26:20,15:29:40,15:32:50
NS-WE-BHI-LBB-060,15:13:30,15:16:20,15:18:20,15:20:10,15:22:30,15:24:20,15:26:50,15:29:10,15:31:40,15:34:00,15:36:20,15:39:40,15:42:50
NS-WE-BHI-LBB-061,15:23:30,15:26:20,15:28:20,15:30:10,15:32:30,15:34:20,15:36:50,15:39:10,15:41:40,15:44:00,15:46:20,15:49:40,15:52:50
NS-WE-BHI-LBB-062,15:33:30,15:36:20,15:38:20,15:40:10,15:42:30,15:44:20,15:46:50,15:49:10,15:51:40,15:54:00,15:56:20,15:59:40,16:02:50
NS-WE-BHI-LBB-063,15:43:30,15:46:20,15:48:20,15:50:10,15:52:30,15:54:20,15:56:50,15:59:10,16:01:40,16:04:00,16:06:20,16:09:40,16:12:50
NS-WE-BHI-LBB-064,15:53:30,15:56:20,15:58:20,16:00:10,16:02:30,16:04:20,16:06:50,16:09:10,16:11:40,16:14:00,16:16:20,16:19:40,16:22:50
NS-WE-BHI-LBB-065,16:03:30,16:06:20,16:08:20,16:10:10,16:12:30,16:14:20,16:16:50,16:19:10,16:21:40,16:24:00,16:26:20,16:29:40,16:32:50
NS-WE-BHI-LBB-066,16:13:30,16:16:20,16:18:20,16:20:10,16:22:30,16:24:20,16:26:50,16:29:10,16:31:40,16:34:00,16:36:20,16:39:40,16:42:50
NS-WE-BHI-LBB-067,16:23:30,16:26:20,16:28:20,16:30:10,16:32:30,16:34:20,16:36:50,16:39:10,16:41:40,16:44:00,16:46:20,16:49:40,16:52:50
NS-WE-BHI-LBB-068,16:33:30,16:36:20,16:38:20,16:40:10,16:42:30,16:44:20,16:46:50,16:49:10,16:51:40,16:54:00,16:56:20,16:59:40,17:02:50
NS-WE-BHI-LBB-069,16:43:30,16:46:20,16:48:20,16:50:10,16:52:30,16:54:20,16:56:50,16:59:10,17:01:40,17:04:00,17:06:20,17:09:40,17:12:50
NS-WE-BHI-LBB-070,16:53:30,16:56:20,16:58:20,17:00:10,17:02:30,17:04:20,17:06:50,17:09:10,17:11:40,17:14:00,17:16:20,17:19:40,17:22:50
NS-WE-BHI-LBB-071,17:03:30,17:06:20,17:08:20,17:10:10,17:12:30,17:14:20,17:16:50,17:19:10,17:21:40,17:24:00,17:26:20,17:29:40,17:32:50
NS-WE-BHI-LBB-072,17:13:30,17:16:20,17:18:20,17:20:10,17:22:30,17:24:20,17:26:50,17:29:10,17:31:40,17:34:00,17:36:20,17:39:40,17:42:50
NS-WE-BHI-LBB-073,17:23:30,17:26:20,17:28:20,17:30:10,17:32:30,17:34:20,17:36:50,17:39:10,17:41:40,17:44:00,17:46:20,17:49:40,17:52:50
NS-WE-BHI-LBB-074,17:33:30,17:36:20,17:38:20,17:40:10,17:42:30,17:44:20,17:46:50,17:49:10,17:51:40,17:54:00,17:56:20,17:59:40,18:02:50
NS-WE-BHI-LBB-075,17:43:30,17:46:20,17:48:20,17:50:10,17:52:30,17:54:20,17:56:50,17:59:10,18:01:40,18:04:00,18:06:20,18:09:40,18:12:50
NS-WE-BHI-LBB-076,17:53:30,17:56:20,17:58:20,18:00:10,18:02:30,18:04:20,18:06:50,18:09:10,18:11:40,18:14:00,18:16:20,18:19:40,18:22:50
NS-WE-BHI-LBB-077,18:03:30,18:06:20,18:08:20,18:10:10,18:12:30,18:14:20,18:16:50,18:19:10,18:21:40,18:24:00,18:26:20,18:29:40,18:32:50
NS-WE-BHI-LBB-078,18:13:30,18:16:20,18:18:20,18:20:10,18:22:30,18:24:20,18:26:50,18:29:10,18:31:40,18:34:00,18:36:20,18:39:40,18:42:50
NS-WE-BHI-LBB-079,18:23:30,18:26:20,18:28:20,18:30:10,18:32:30,18:34:20,18:36:50,18:39:10,18:41:40,18:44:00,18:46:20,18:49:40,18:52:50
NS-WE-BHI-LBB-080,18:33:30,18:36:20,18:38:20,18:40:10,18:42:30,18:44:20,18:46:50,18:49:10,18:51:40,18:54:00,18:56:20,18:59:40,19:02:50
NS-WE-BHI-LBB-081,18:43:30,18:46:20,18:48:20,18:50:10,18:52:30,18:54:20,18:56:50,18:59:10,19:01:40,19:04:00,19:06:20,19:09:40,19:12:50
NS-WE-BHI-LBB-082,18:53:30,18:56:20,18:58:20,19:00:10,19:02:30,19:04:20,19:06:50,19:09:10,19:11:40,19:14:00,19:16:20,19:19:40,19:22:50
NS-WE-BHI-LBB-083,19:03:30,19:06:20,19:08:20,19:10:10,19:12:30,19:14:20,19:16:50,19:19:10,19:21:40,19:24:00,19:26:20,19:29:40,19:32:50
