trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI
NS-WE-LBB-BHI-034,10:40:00,10:42:20,10:45:40,10:47:50,10:50:10,10:52:30,10:54:40,10:57:10,10:59:00,11:01:30,11:04:10,11:06:20,11:09:20
NS-WE-LBB-BHI-035,10:50:00,10:52:20,10:55:40,10:57:50,11:00:10,11:02:30,11:04:40,11:07:10,11:09:00,11:11:30,11:14:10,11:16:20,11:19:20
NS-WE-LBB-BHI-036,11:00:00,11:02:20,11:05:40,11:07:50,11:10:10,11:12:30,11:14:40,11:17:10,11:19:00,11:21:30,11:24:10,11:26:20,11:29:20
NS-WE-LBB-BHI-037,11:10:00,11:12:20,11:15:40,11:17:50,11:20:10,11:22:30,11:24:40,11:27:10,11:29:00,11:31:30,11:34:10,11:36:20,11:39:20
NS-WE-LBB-BHI-038,11:20:00,11:22:20,11:25:40,11:27:50,11:30:10,11:32:30,11:34:40,11:37:10,11:39:00,11:41:30,11:44:10,11:46:20,11:49:20
NS-WE-LBB-BHI-039,11:30:00,11:32:20,11:35:40,11:37:50,11:40:10,11:42:30,11:44:40,11:47:10,11:49:00,11:51:30,11:54:10,11:56:20,11:59:20
NS-WE-LBB-BHI-040,11:40:00,11:42:20,11:45:40,11:47:50,11:50:10,11:52:30,11:54:40,11:57:10,11:59:00,12:01:30,12:04:10,12:06:20,12:09:20
NS-WE-LBB-BHI-041,11:50:00,11:52:20,11:55:40,11:57:50,12:00:10,12:02:30,12:04:40,12:07:10,12:09:00,12:11:30,12:14:10,12:16:20,12:19:20
NS-WE-LBB-BHI-042,12:00:00,12:02:20,12:05:40,12:07:50,12:10:10,12:12:30,12:14:40,12:17:10,12:19:00,12:21:30,12:24:10,12:26:20,12:29:20
NS-WE-LBB-BHI-043,12:10:00,12:12:20,12:15:40,12:17:50,12:20:10,12:22:30,12:24:40,12:27:10,12:29:00,12:31:30,12:34:10,12:36:20,12:39:20
NS-WE-LBB-BHI-044,12:20:00,12:22:20,12:25:40,12:27:50,12:30:10,12:32:30,12:34:40,12:37:10,12:39:00,12:41:30,12:44:10,12:46:20,12:49:20
NS-WE-LBB-BHI-045,12:30:00,12:32:20,12:35:40,12:37:50,12:40:10,12:42:30,12:44:40,12:47:10,12:49:00,12:51:30,12:54:10,12:56:20,12:59:20
NS-WE-LBB-BHI-046,12:40:00,12:42:20,12:45:40,12:47:50,12:50:10,12:52:30,12:54:40,12:57:10,12:59:00,13:01:30,13:04:10,13:06:20,13:09:20
NS-WE-LBB-BHI-047,12:50:00,12:52:20,12:55:40,12:57:50,13:00:10,13:02:30,13:04:40,13:07:10,13:09:00,13:11:30,13:14:10,13:16:20,13:19:20
NS-WE-LBB-BHI-048,13:00:00,13:02:20,13:05:40,13:07:50,13:10:10,13:12:30,13:14:40,13:17:10,13:19:00,13:21:30,13:24:10,13:26:20,13:29:20
NS-WE-LBB-BHI-049,13:10:00,13:12:20,13:15:40,13:17:50,13:20:10,13:22:30,13:24:40,13:27:10,13:29:00,13:31:30,13:34:10,13:36:20,13:39:20
NS-WE-LBB-BHI-050,13:20:00,13:22:20,13:25:40,13:27:50,13:30:10,13:32:30,13:34:40,13:37:10,13:39:00,13:41:30,13:44:10,13:46:20,13:49:20
NS-WE-LBB-BHI-051,13:30:00,13:32:20,13:35:40,13:37:50,13:40:10,13:42:30,13:44:40,13:47:10,13:49:00,13:51:30,13:54:10,13:56:20,13:59:20
